EU	ue
cereals	cereales
105.07	boyero
Ecus	ecu
provisionally	provisionalmente
optional-origin	opcionales
enjoys	disfruta
subtracting	multiplicando
34,277	ob
109.36	bailiazgo
5432	negrilla
shipyard	astilleros
RENNES	lille
3,500	bloomberg
Cherbourg	cherburgo
1,800	finale
yeard	aud
cutback	recorte
slim	scarface
Indre	montrond
DAWN	amanecer
managements	gestión
curtail	limitar
estates	fincas
Hub	neurálgico
Gadoon	astin
unearthed	hallado
police-run	policía
cages	jaulas
Tando	agra
Allahyar	ghulam
Hyderabad	delhi
RECORDER	recorder
Gas	gas
Sui	sui
technologists	investigadores
sugarcane	caña
pillaged	saquearon
Gujar	nawab
3,225	poll
megawatt	megavatios
on-line	línea
NATION	nación
Mohib	ghulam
Textile	textil
defaulted	insolvencia
leasing	leasing
modarabas	ghulam
multiply.q	multiplicar
7.84	mosco
Shahid	jalal
privatisation	privatización
Electricity	electricidad
Boards	boards
Vital	vital
Sindh	sindh
ad-interim	interino
restraining	desacato
Privatisation	privatización
Javedan	mati
Dadabhoy	ghulam
pvt	pvt
MUSLIM	musulmana
9251-274757	–el
SALANG	anak
TUNNEL	túnel
directions	direcciones
occupying	ocupada
rebelled	rebeló
wrecked	naufragó
heavily-mined	minado
Halo	halo
roadsides	cunetas
Qotbuddin	umar
Hilal	hilal
officiated	ofició
burnt	quemado
sprinkling	empapado
petrol	gasolina
Andhra	karnataka
Pradesh	dhaka
rarest	rareza
beings	seres
roasted	hervido
appellants	litigantes
plotted	estratagema
K.T.	tojo
Elephant	elefante
tramples	tropezar
rampaging	merodeadores
elephant	elefante
72-year-old	keegan
trampled	salvajemente
Hari	hari
Maya	maya
Poudels	delon
Madhumalla	narayan
asleep	dormido
beast	bestia
kingdoms	reinos
elephants	elefantes
Elephants	elefantes
overrun	invadido
Kudapokuna	iki
Welikanda	surya
dawn	amanecer
army-controlled	controlado
Vavuniya	rangún
undercover	fbi
Vicorp	empresa
Restaurants	restaurantes
Sabourin	lemieux
CFO	ceo
DENVER	denver
Bestop	detenerse
Boulder	boulder
Held	celebrado
1610	excelencia
SoCal	reel
Edison	edison
kilovolt	kilovatios
KV	kv
wildfire	incendios
raging	feroz
Conroy	rafferty
crews	tripulaciones
fire-related	fuego
residues	aminoácidos
megawatts	megavatios
MW	mw
1,200	pros
cables	cables
Containment	contención
arid	semiáridas
windy	nieve
Leong	yuen
1622	cio
Strategic	estratégica
Munis	viator
0.056	josías
Monthly	mensual
Municipals	municipal
Semiconductor	semiconductores
expectation	expectativa
emerge	emerger
modem	módem
2-1/8	bled
11-3/8	●
modem-chip	chip
fast-growing	crecer
networking	redes
Certainly	evidentemente
Elias	elias
Moosa	abou
Roberston	edgerton
PMC-Sierra	sierra
chipsets	chipsets
severance	reembolso
Randall	garvin
Soundview	cortland
focusing	centrándose
fastest-growing	pole_tiempo
much-larger	novarro
develops	desarrolla
shrink	doblarse
Hambrecht	schwab
Quist	quist
low-margin	deltoides
PMC	pmc
slowing	ralentiza
206-386-4848	—tanto
Housecall	gigolo
sink	hundirse
underperform	rentabilidad
7-3/8	equis
7-1/8	oj
Atlanta-based	dallas/fort
0.17	ob
non-Medicare	medicare
hospice	hospital
limitation	limitación
IRVINE	irvine
Subsidiaries	subsidiarias
Unaudited	pagarés
17,024,000	maro
18,174,000	antro
31,834,000	ruf
24,137,000	ob
7,718,000	cicero
6,828,000	globus
14,668,000	inri
13,091,000	cto
9,167,000	nexo
11,175,000	davos
16,909,000	rj
10,880,000	demian
1.05	/i
1.59	negro»
1.02	urso
Weighted	ponderada
10,650,407	orth
Pro	pro
Forma	verba
Historical	histórica
9,306,000	tvp
11,346,000	max
17,166,000	ov
11,046,000	receso
forma	nuda
3,820,000	principal
4,658,000	cicero
7,047,000	reach
4,534,000	sabático
5,486,000	sabático
6,688,000	cicero
10,119,000	uber
6,512,000	sabático
0.37	ob
0.68	ii»
0.44	wga
14,775,000	amm
Oasis	oasis
Gallagher	gallagher
rock	rock
obscene	obsceno
swore	juraron
hate	odio
f...	klondike
ing	ing
supermodel	supermodelo
Noel	bert
laryngitis	faringitis
house-hunting	edificio
Patsy	patsy
Kensit	chrissie
tickets	boletos
Slough	canoe
Estates	fincas
upbeat	pegadizo
pretax	depreciación
14p	eee
1009	desglose
12-1	marconi
2p	rho
468p	eei
691p	luksic
Hammerson	gibbons
8p	hj
390	rt
Warburg	warburg
stances	posturas
maintaining	manteniendo
rental	alquiler
incomes	ingresos
shaved	afeitado
Nigel	colin
Mobbs	lealistas
Birt	kirwan
shrinks	derrite
26.5	–un
seasonally	estacionalmente
715	rix
973	kot
Canadians	canadienses
3.72	meco
Burea	funcionarios
613	agg
235-6745	crunch
Palestinian-ruled	canaán
shaken	golpeado
backdrop	telón
four-hour	cuatro
0900	gk
espionage	espionaje
rings	anillos
Jomhuri	sayyid
Eslami	seyyed
photographing	fotografiar
pan-Turkism	turk
exiles	exiliados
Ties	lazos
Fallahiyan	amín
distillates	destilación
kerosene	queroseno
99	‎
sort	creamos
noticeable	apreciable
45-50	mixtas
differential	diferencial
Dubai	dubái
ports	puertos
exceed	exceder
Jet	jet
27.40	mamet
27.70	ona
27.22	miliario
cargoes	cargamentos
24.00	moy
24.20	ems
24.10	nr
24.24	ems
lowest	alto
suspicious	sospechoso
overhang	voladizo
sulphur	sulphur
70-75	þ
manuscript	manuscrito
thieves	ladrones
Testament	septuaginta
al-Akhbar	jalal
undated	circa
pretended	fingió
Wyche	wilkerson
senator	senador
invoked	invocado
recess	receso
confirming	confirmando
predecessor	predecesor
Mabus	kennedy
shops	tiendas
shutters	persianas
exporters	exportadores
purchasing	comprando
1997/98	●
199,900	ob
Nil	pairs
149,100-A	þ
74,600	landis
55,000-B	boero
161,600	terminus
A-	rescue
54,600	itu
B-	profeso
55,000	adv
Destinations	destinos
Life	vida
Southland	southland
enterprise	enterprise
mainframe	mainframe
delivering	entregando
real-time	videoconferencia
constitutes	constituye
contends	argumenta
misappropriating	malversación
NBA	nba
continually	continuamente
Baxter	baxter
Immuno	interferón
miilion	billones
secures	asegura
747s	ada
Cos	cos
chipset	chipset
Lion	lion
Hotels	hoteles
Doubletree	hilton
Baby	bebé
Bells	campanas
telecommunications	telecomunicaciones
Economists	economistas
five-point	tres
toxic	tóxico
stock-trade	comercio
H&R	magnum
CompuServe	usenet
impasse	impasse
authorised	autorizado
trashed	destrozado
nudge	dudes
GOP	caucus
reporter	reportero
re-nomination	nomina
state-by-state	estado
Beachcomber	baywatch
HIGHLANDS	highlands
foot-long	largo
debris	escombros
bearing	resalte
markings	dorso
shore	bahía
conducting	dirigiendo
fireball	fireball
wallets	monedero
shoes	zapatos
mechanical	mecánico
Rich	ricas
Leila	lydia
Corcoran	corcoran
writes	escribe
still-enslaved	esclavizado
pleads	suplica
Abraham	abraham
maimed	matado
poses	pose
Archives	archives
Conservation	conservación
volunteers	voluntarios
preserved	conservados
microfilm	documentos
stowed	escotilla
rarely	raramente
enlistment	alistamiento
muster	reunir
discharge	vaciamiento
certificates	certificados
corps	marines
unveiling	develó
memorial	memorial
37,000	ob
shall	podrá
oportunity	oportunidad
enjoyment	disfrute
sic	sic
slavery	esclavitud
oppreses	seu
liberty	liberty
outpouring	entusiasmo
coloured	colores
curse	maldición
separated	separados
1865	​​de
well-to-do	así
matron	enfermera
plead	fianza
dishonourable	deshonra
prisoner	prisionero
thoughtless	irresponsable
folly	folly
notation	notación
regiment	regimiento
pardon	indulto
anguish	angustia
amputee	amputado
terrible	terrible
Pvt	pvt
haunted	embrujado
posed	amenaza
bare-chested	calva
1864	exa
insight	comprensión
rhythms	ritmos
Carbondale	carbondale
editor	editor
Gen	tte
Ulysses	ulysses
writings	escritos
poetic	poética
linguistic	lingüístico
treasure	tesoro
trove	incalculable
sociology	sociología
seared	hervido
consciousness	consciencia
Daughters	hijas
Confederacy	confederados
retirees	jubilados
Budge	budge
Weidman	bader
shepherded	echado
predicts	predice
databases	metadatos
battlefields	batallas
discharged	evacuado
incapacity	incapacidad
inebetude	op
Patient	paciente
arise	surgen
masturbation	masturbación
re-nominate	nominar
559-mile	prévert
vow	promesa
Sylvie	mireille
AJACCIO	ajaccio
Separatist	separatista
Mediterranean	mediterráneo
Ajaccio	ajaccio
defused	explosivos
get-tough	ironside
Jean-Louis	louis
Debre	barka
Corse	corse
Judges	jueces
lax	lax
widely-reported	reportado
powerless	impotente
France-Soir	prévert
Place	lugar
Beauvau	noailles
nightly	mañanas
Figaro	figaro
shaky	endeble
seven-month	diez
racked	acumuló
low-level	nivel
separatist-inspired	aver
principally	principalmente
continent	continente
stoke	stoke
backlash	revuelo
OM	om
STOCKHOLM	estocolmo
derivatives	derivados
Gruppen	gruppe
Together	juntos
subsidiaries	filiales
OMLX	deskjet
PULPEX	corcho
pulp	pulp
timber	madera
recycled	reciclado
Through	través
complements	complementariedad
softs	canonical
cocoa	cacao
unpredictable	impredecible
risky	arriesgado
Without	sin
hedge	hedge
clearing	barriendo
Investments	inversiones
+46-8-700	phc
1006	celo
Amsterdam-Rotterdam-Antwerp	amsterdam
tankage	combustible
week-ago	semanas
29/8/96	mo
22/8/96	tojo
1/9/95	sema
400-425	zee
425	ripa
Naphtha	queroseno
50-75	wilde
75-100	erasmo
1,650	uli
1,850-1,900	pasaje
325-350	rect
kero	gintama
15-20	pros
inflows	escorrentía
throughput	escalabilidad
straight-run	recta
bunkering	atraque
Blenkinsop	hargreaves
anti-nuclear	nuclear
pantomime	pantomima
re-enacting	promulgar
Activists	activistas
brandished	blandiendo
theatre-prop	sincat
Gorleben	farben
depot	almacén
Mafia	mafia
CATANIA	catania
Sicily	sicilia
slaying	decapitación
14-year-old	payton
nephew	sobrino
Puglisi	gatto
Salvatore	salvatore
Botta	pani
cemetery	cementerio
Sicilian	siciliano
hardened	endurecido
anti-Mafia	mafia
tip-off	punta
consciences	conciencias
Nitto	rino
Santapaola	badalamenti
knelt	arrodillado
ambush	emboscada
cemetary	cementerio
Thieves	ladrones
canteen	comedor
LIMERICK	cork
Limerick	cork
warders	guardias
takings	ganancias
Italians	italianos
HIV-pensioner	oficinista
harassing	acosando
hookers	hooligans
61-year-old	dimaggio
AIDS	sida
pensioner	pensión
Pietro	francesco
HIV	vih
cruising	eslora
red-light	destello
hurling	pfa
blanks	sobres
Bodies	cuerpos
sighted	avistado
Arctic	ártico
Spitzbergen	spitsbergen
Rune	rune
NTB	ohl
Vnukovo	domodedovo
Tupolev	tupolev
Longyearbyen	spitsbergen
airstrip	aeródromo
rescuers	rescatados
three-engine	motor
Opera	ópera
mountainside	ladera
0815	iw
coal-mining	carbón
Barentsburg	barents
1920s	kz
Galeforce	slipstream
Torrential	torrenciales
galeforce	havok
meteorological	meteorológica
Cellars	bodega
trees	árboles
uprooted	arrasados
roofs	techos
trains	trenes
cm	cm
2.24	filis
7.4	ob
2.96	●
communes	comunas
Meteorological	meteorológico
RMT	cpr
Turnhout	leuven
scouts	scouts
camping	camping
meadow	prados
hindered	obstaculizado
excavations	excavaciones
Jumet	chaussée
sex-and-murder	asesinato
lightly	pesadamente
tides	mareas
pesetas	pesetas
chemicals	agroquímicos
4,150	tojo
61.45	–la
61.94	cabía
4,175	stain
madness	locura
overreacted	enfado
correction	corrección
+34	birdie
585	zaz
2161	gru
Nahar	hariri
Liberte	liberté
Leveilly	zvi
Matin	matin
Finns	aletas
sex-abuse	abuso
captive	cautiverio
Tampere	helsinki
luxury	lujo
inspector	inspector
Ilkka	katja
Laasonen	kerstin
Iltalehti	interviú
Audi	audi
INGOLSTADT	ingolstadt
Demel	beyer
hedged	liquidez
KEKKILA	lauri
FULL-YR	plenamente
VS	vs
LOSS	angeles
Fertilisers	fertilizantes
saplings	troncos
Kekkila	lauri
trend	tendencia
fluctuations	fluctuaciones
end-year	pnud/
INTERVIEW-T&N	entrevista
untroubled	abrumado
T&N	cargill
Hope	animo
bumble	abejorro
predict	predecir
echoing	estridente
automotive	automoción
Compared	comparación
equally	tremendamente
predicting	predecir
rationalised	racionalizar
destocked	suministros
9.5	
destocking	recambio
relaxed	relajado
cycle	ciclo
fraction	proporción
Commenting	comentando
piston	pistón
Kolbenschmidt	goebel
obstacles	obstáculos
Huddart	rennie
8716	moa
Earthquake	terremoto
jolts	sacudidas
Zealands	zelanda
Waiau	manawatu
spa	spa
Hanmer	wentworth
prone	propenso
earthquakes	terremotos
smooth	suave
Trevelyan	sir
half-yearly	año
absolutely	absolutamente
predicated	negación
precepts	preceptos
trough	convección
draconian	injustas
earth	planeta
rentals	alquiler
reclamation	dragado
narrowly	estrepitosamente
downtrend	recesión
Banks	bancos
hover	volar
T$	¢
27.482	/
27.495	rogge
275	imo
2-5080815	cit
Simex	gazprom
20,500	lou
Sentiment	patriotismo
20,605	pe
touching	fijamente
intraday	liquidez
20,530	ob
20,725	vine
19,560	tours
technically	técnicamente
20,300	fs
21,000	gru
Doreen	helen
Siow	chong
65-8703092	bg
Siam	siam
metropolitan	metropolitan
Waterworks	potable
banker	banquero
8.46	ob
maturity	madurez
662	ei
652-0642	olea
M'bishi	abou
7-year	pnud/
FISCAL	fiscal
Tokyo-Mitsubishi	mitsubishi
2.95	arp
Sep.03	sept
Sep.96	sept
INT	int
Mar.97	mary
SUB	sub
Jul-18.Jul	may
JCR	lms
JBRI	ifam
Daewoo	daewoo
Dacom	ntt
telecom	telecom
822	regia
727	mirna
5644	galea
Commem	conmemoraciones
Made	hecho
manufactures	fabrica
ski	esquí
Antara	indi
evident	evidente
happening	ocurriendo
motivated	motivado
Major-General	general
Utomo	yani
Indonesias	indonesia
guard	guardia
extinguished	prendido
injures	hiriendo
Nobody	nadie
exaggerate	exagerar
Facilities	instalaciones
11.38	davi
11.45	davi
918	raab
490	bur
538	boyero
rents	alquileres
Haneda	narita
Itami	kōchi
Beijing-backed	respaldado
post-handover	devolución
contesting	endisputa
Selection	seleccionó
stymies	empeños
400-strong	fuerte
provisional	provisional
dismantle	desmantelar
fully-elected	elegido
considerable	considerable
directorate-grade	rectorado
bureaucrats	burócratas
33,000	ob
tier	tier
mandarin	mandarín
secretaries	secretarios
Refining	refinación
SRC	src
barrel-per-day	barre
distillation	destilación
stuck	atascado
X-ray	dcs
No.3	#waka
varied	variado
exchanger	recirculación
285,000	jud
co-owned	propiedad
Petrolem	petrobras
joint-venture	venture
Chevron	chevron
Texaco	texaco
+65-8703086	rancio
Loxley	rupert
332.66	‡
Reviewed	revisión
6.66	oli
266.37	dryas
Publications	publicaciones
662-252-9950	aislamiento
MTH	rw
PVS	pvp
YR-AGO	tano
+0.1	ases
+0.0	urso
119.3**	luxe
Yr	yn
+3.7	schindler
+3.6	ob
+4.7	​​de
119.3	cur
Core	núcleo
+0,2	,la
+3.5	papi
+5.2	globus
JOBLESS	desempleado
INEM	inem
63,913	ob
33,149	—no
65,345	geo
2.17M	numan
13.67	rada
14.15	sos
15.19	þ
PAYMENTS	pagos
196.8	forner
180.6	ager
279.9	ula
Cur	lat
Acc	ac
110.4	tas
RESERVES	reservas
+1,161	titi
+400.9	ː
+310.4	roulette
54,703.0	tarso
PRODUCER	productor
PRICES	precios
+0.2	epi
119.6**	bozo
+1.2	​​de
+1.5	–el
+7.1	ob
119.6	topo
INDUSTRIAL	industrial
PROD	borrado
+1.0	landis
+9.8	tas
108.4**	talon
M4	bt
+2.6	excluyó
+4.2R	vieran
+10.8	milli
adj	adj
trln	std
75.912	anco
TRADE	comercio
1,100.7	sabas
1,164.1	tano
988.2	oxy
1,315.7	meco
1,433.4	ruf
1,236.5	tata
Deficit	déficit
215.0	punch
269.3	marconi
248.3	glantz
1,334.0	cor
1,119.0	att
1,420.9	lag
GOVT.BUDGET	ifam
Govt.Fcast	agn
+282.1	tas
380.6	ob
+230.4	bt
Def	busta
1,184.0	fido
1,466.1	lance
1,456.7	–el
QUARTER	final
QTR	ibc
EPA	epa
+168,130	tojo
+31,230	↔
+167,330	hj
Yr-yr	tyr
+1.9	salia
+2.3R	pini
+3.4	ob
Absolute	absoluta
18.1	krahe
16.9	adalid
69.7	sacas
Pvs	dcs
7.25	vine
7.50	troupe
04/06/96	nea
Jobless	desempleado
customs-cleared	sobreseído
annualised	interanual
employment	laboral
INE	ine
variation	variación
TOTAL-	totales
jobless	desempleado
corresponds	corresponde
relate	relacionar
finances	finanzas
**General	general
100=1992	maus
100=1990	heck
obstructing	obstruir
Lasa-Zabala	mati
GAL	gal
prescriptions	prescripciones
Gomez	camacho
Liano	costanzo
Aznar	aznar
BCH	bn
hive	hive
Coopers	vauxhall
Lybrand	citigroup
emigrates	emigra
Lenzing	oberhausen
viscose	industrialmente
fibre	fibra
preview	preview
84.5	errico
schillings	schilling
fibres	fibras
economies	economías
+431	mag
53112	tui
fundamentalists	fundamentalistas
rejection	rechazo
masterminds	desenmascarar
ideologists	ideólogos
financers	financieros
clarifications	aclaraciones
clarification	aclaración
1676/96	celo
amending	aprobando
2454/93	bcs
2913/92	↔
Code	código
ponders	consuela
Donna	donna
Sells	vende
topic	cuestión
pundits	comentaristas
debated	debatido
forgo	optar
unflagging	talante
sidestepped	eludió
Should	debería
strong-dollar	dólar
Bentsen	quayle
viewed	vistos
distinctively	distintiva
Widness	clough
Chase	chase
timely	oportuna
instances	casos
post-Second	segundo
1.3438	thaddeus
79.75	pah
Currently	actualmente
stands	levanta
1.48	ate
expertise	conocimientos
co-chairman	vicepresidente
Faust	faust
Bailard	cancionista
Biehl	keller
Kaiser	kaiser
Anyone	alguien
awfully	francamente
Fear	miedo
Bentsen-era	kjell
Greenspan	greenspan
reappointment	nombramiento
depreciation	depreciación
lesser	considerable
guy	guy
Perelstein	rosenfeld
MainStay	década
Funds	fondos
Otherwise	siempre
SCOTLAND	escocia
UNDER-21	bajo
AMSTETTEN	vaduz
Ewald	ewald
Brenner	rosenfeld
Stieglmair	henning
Brunmayr	schäfer
43rd	ard
WALES	gales
MARINO	pierluigi
BARRY	barry
Marino	pierluigi
Hartson	platt
BALLANGER	laverne
STYLE	estilo
best-of-three	tres
ex-world	mundial
24-kms	rtf
Samokhalova	oksana
spirited	arrogante
Quigley	hewson
numerical	numéricos
superiority	superioridad
Goulnara	beygelzimer
Fatkoullina	leech
snatching	metiéndose
lapped	coulthard
Ingrid	ingrid
Haringa	jaya
Lancien	maréchal
TRACK	track
12.341	chilean
12.348	pf
12.130	prod
12.124	aca
Ride	bicicleta
12.112	cur
12.246	atrial
11.959	sinónimo
12.225	melvyn
24-km	km
31.081	ivb
Tatiana	tatiana
Stiajkina	jesper
Arndt	arndt
Tea	té
Vikstedt-Nyman	bergström
Boyden	hester
Godras	mati
DEFENDER	defensor
KOMBOUARE	moussa
ABERDEEN	aberdeen
ABDERDEEN	abdi
Kombouare	touré
467,000	bcs
Aitken	aitken
affection	afecto
Ginola	trezeguet
influential	influyente
influenced	influido
IMOLA	imola
Practice	prácticas
motorcycling	motociclismo
Doohan	stewart
50.250	rr
Bayle	bayle
1:50.727	grb
Norifumi	yoshihiro
Abe	abe
1:50.858	tas
Luca	luca
Cadalora	adria
1:51.006	rv
Criville	castries
1:51.075	kel
1:51.287	tau
Tadayuki	kiyoshi
Okada	kensuke
1:51.528	bozo
Checa	montoya
1:51.588	lio
1:51.784	rv
Shinichi	shinichi
Itoh	hasegawa
1:51.857	ario
216	mosco
217	meco
Swe	swe
Bradley	bradley
Hughes	hughes
LEICESTERSHIRE	leicestershire
296	tojo
discard	desechar
213	offshore
bundle	bundle
372	meco
37-run	rein
scuttled	torpedeado
dumped	basurero
Butcher	carnicero
429	hj
234	imo
123	sat
O'Gorman	duffy
471	ː
233	pritzker
frustration	frustración
dismiss	apelar
214	—también
gritty	crudeza
ex-England	glándula
McCague	duffy
stumps	troncos
4-38	globus
Dale	dale
Blenkiron	willoughby
4-43	antiqua
4-55	vine
108-3	uber
429-7	zam
Kersey	geary
Ratcliffe	wickham
Bicknell	howell
4-37	berk
197-8	uber
Hegg	kell
109-5	mex
133-5	valido
T.O'Gorman	devlin
6-82	●
185-6	ladrido
ASHES	cenizas
INTINERARY	bonsor
Ashes	cenizas
six-test	test
Minor	minor
Counties	condados
itinerary	itinerario
Arrive	dirigirse
Duke	duque
Norfolk	norfolk
Arundel	arundel
27-29	þ
5-9	wilde
14-16	ob
19-23	●
25-27	uff
28-30	anexos
19-21	●
24-28	‡
Fifth	octavo
21-25	●
Sixth	sexto
SHEARER	shearer
costliest	mortífero
footballer	futbolista
23.4	ob
Platt	platt
captaincy	capitanía
mates	compañeros
Teddy	louie
Sheringham	brighton
TOURNAMENT	torneo
92-90	ivb
47-47	jaro
LITHUANIA	lituania
Cosmin	vasile
Contra	vox
Mihai	nicolae
Tararache	esperón
Danius	marcus
Gleveckas	hein
13rd	ard
ROTOR	rotor
FANS	fanáticos
LOCKED	arrinconado
VOLGOGRAD	volgogrado
VIOLENCE	violencia
bottles	botellas
Gorokhovsky	александр
Lying	yace
BOXING	boxeo
PANAMA	panamá
ROBERTO	roberto
DURAN	civera
FIGHTS	peleas
SANDS	sands
Panamanian	panameño
boxing	boxeo
Stone	piedra
Duran	belanova
age-defying	desafiando
sustain	sostener
little-known	conocido
Ariel	ariel
middleweight	wélter
non-title	título
bout	nocaut
Legend	leyenda
boxer	boxeador
classes	clases
lightweight	liviano
welterweight	wélter
devalue	depreciación
boxers	boxeadores
Boxing	boxeo
Manzanares	miravalles
97-12	oj
spans	extiende
10-round	alrededor
rematch	revancha
Macho	chulo
Camacho	camacho
QUARTER-FINAL	octavos
Quarter-final	final
15-17	sat
17-15	loyo
Suwan	sakon
PROFESSIONAL	profesional
.596	hw
.441	rape
1-	ː
.556	moa
.358	ycaza
.452	salí
.629	muniqueses
.440	mag
.541	globus
TARANGO	tarango
O'BRIEN	farrell
SPRING	primavera
TWIN	gemelos
UPSETS	entristece
LIGHTS	luces
upsets	entristece
reprising	coprotagonista
wildcard	comodín
grandstand	tribunas
temperamental	temperamental
wriggle	picar
0-4	fug
upstarts	buzzcocks
1-5	mux
myself	puedo
composure	compostura
folded	filas
tent	choza
hard-serving	jacks
collegiate	colegial
ultimately	finalmente
subdue	repeler
never-say-die	jory
netted	anotó
backhand	zurda
Texan	texan
40-0	finale
tantrum	harta
All-England	inglaterra
taunted	insultó
lively	desenfadado
tango	tango
boisterous	desenfadado
cheering	saludando
distracted	distraído
104th-ranked	parado
dismay	consternación
boo	boo
fraternities	fraternidades
wold	abbe
antics	bromas
Balls	glas
sarcastic	sarcástico
kisses	besa
jiggled	agarrado
rooting	plantando
jeering	gritando
blatantly	tendencioso
figured	olvidaba
razzle-dazzle	hairspray
NFL	nfl
FOOTBALL-RANDALL	fotball
CUNNINGHAM	bowden
RETIRES	retira
rusher	reboteador
quarterback	quarterback
11-year	pnud/
Eagles	eagles
three-time	tres
4,482	—actual
677	rubin
thank	¡gracias
saddens	entristece
burner	quemador
quarterbacks	quarterbacks
Lurie	freedman
cornerstone	cimiento
franchise	franquicia
1,874-of-3,362	lso
55.7	fué
touchdowns	touchdowns
broadcaster	locutor
GREATER	mayor
par-71	park
6,739-yard	burrell
Deer	der
Nolan	nolan
Estes	embry
Andrade	silva
Jesper	jesper
Parnevik	lilla
Lancaster	lancaster
Barr	barr
Claar	nissen
Russ	rus
Cochran	cochran
Calcavecchia	pittman
Olin	olin
Browne	browne
Bortsch	paquin
Hulbert	prevost
Henninger	henning
Woods	hill
Jurgenson	levin
Gorman	gorman
HENKE	vollmer
WOODS	forest
MAKES	hacen
PRO	pro
nine-under-par	siete
two-shot	disparo
Amateur	amateur
eagled	yacía
four-under	cuatro
Yesterday	ayer
pleasant	agradable
birdies	ases
Magee	magee
pro-am	job
third-place	lugar
Nortel	motorola
par-five	siete
champ	champ
three-under	bajo
four-time	cuatros
SILVA	silva
`LOST	perdido
PASSPORT	pasaporte
EXCUSE	excusa
NOT	obviamente
ENOUGH	suficiente
Coruna	varea
Mauro	mauro
excused	excusó
DEFEATS	derrota
FORMER	ex
post-Games	juegos
sprinting	velocista
Watched	visto
array	array
10.08	domar
9.84	dano
belong	pertenecen
concentration	concentración
coolish	wasabi
clocking	cronometrados
10.89	troupe
10.94	día»
12.74	–el
Bokovec	sokolov
13.11	ere
13.17	ob
6.87	ob
Djate-Taillard	maillard
4:08.22	lyceum
4:08.96	gei
4:09.25	dano
4:09.95	reúna
Carmen	carmen
Wuestenhagen	altona
4:10.38	yah
Margarita	elena
Maruseva	yelena
4:10.87	rape
Sara	sara
4:11.06	davi
Crear	baqueiro
Jarrett	dorsey
13.35	brut
Schwarthoff	hager
13.52	tui
Falk	hiller
Balzer	wimmer
Busemann	weyl
13.58	agg
13.60	papi
19.97	ob
20.02	noe
Geir	kjell
Moen	moen
20.41	poll
20.54	naum
20.78	squid
Hirsbro	gallen
20.90	diferencia
20.96	amm
Astrid	astrid
Kumbernuss	henning
19.89	lso
Claudia	claudia
Mues	puche
18.80	cicero
Korzhanenko	litvinenko
18.63	ob
Valentina	valentina
Fedyushina	yuliya
18.55	caron
Storp	viborg
18.41	finale
49.09	zoë
Venuste	venusta
Niyongabo	kenyatta
3:51.01	gym
3:51.40	amm
3:53.42	ob
Marko	marko
Koers	velde
3:53.47	ob
3:53.85	orbe
3:54.67	ob
70.60	a
68.44	­
Vasily	vasili
66.24	pando
65.30	‡
Virgilijus	vlado
64.46	sac
Seelig	schwab
62.00	pe
Moellenbeck	steiger
58.56	gr
11.07	davi
11.14	mad
11.20	eno
11.26	virgil
11.37	mux
04.95	moa
Gete	wo
Wami	aor
15:05.21	ev
Cheruiyot	keniano
15:05.41	lean
Annemari	sami
Sandell	henning
15:06.33	zas
Tegla	hamar
Loroupe	kenyatta
15:08.79	sodre
Gunhild	ragnhild
15:09.00	teo
15:09.74	plenos
15:14.34	real»
48.23	ort
48.34	ob
48.62	oo
Mori	mori
49.21	chum
Nylander	gren
49.22	iie
49.35	agus
49.36	hiram
49.58	tl
50.31	rein
Jearl	ladd
50.42	–el
Yusuf	yusuf
51.43	ob
Ruecker	gross
51.61	gr
Olabisi	abuya
Afolabi	kaizer
51.98	rath
52.05	moy
Kisabaka	kasai
52.41	solier
Janke	hein
53.13	sos
10.22	saro
10.24	teo
10.33	ger
Blume	blume
10.48	ob
Kipketer	atleta
1:43.34	zhivago
Norberto	gualberto
Tellez	yoyo
1:44.58	lap
Langat	langkawi
1:44.96	tui
Nico	nico
Motchebon	jacky
1:45.03	scat
Kiptoo	irwin
1:45.27	berk
Hacini	cúneo
1:45.64	sere
Vebjoen	jaan
1:46.45	po
Winrow	pettit
1:46.66	tusk
1=	doro
Tiwontschik	kopp
5.86	brewster
Igor	igor
Trandenkov	sokolov
Maksim	sokolov
Tarasov	popov
5.80	pew
Potapovich	ivanovich
Kazakstan	kazajstán
Galfione	hinault
Pyotr	serguéi
Bochkary	vasilevski
Dmitri	dmitri
Hanne	anke
6=	boyero
Golodnova	rossiya
2.62	​​de
13:06.12	ere
13:06.45	iras
13:06.57	iras
Shem	shem
Kororia	kona
13:06.65	iras
Brahim	mustapha
Lahlafi	haidar
13:08.05	pn
13:20.12	ert
Bayissa	tamar
13:21.35	jug
17.69	mosco
17.44	anthos
17.16	mor
Conley	wilkerson
16.79	majo
Armen	armen
Martirosyan	rustam
16.57	longa
16.41	cqc
Calado	zarco
16.31	ː
Charles-Michael	michael
Friedek	wieland
16.12	oi
Tanja	angelika
Damaske	veit
Trine	andreas
Hattesta	lillehammer
65.12	jumbo
65.10	nuevo
Heli	heli
Rantanen	jussi
62.78	pilatus
62.06	thorndike
Xiomara	xiomara
Shikolen	koen
60.74	spiro
Ramaunaskaite	estíbaliz
38.87	ob
Oeji	abo
Aliu	emin
Panayiotopoulos	nikos
39.93	hiram
LIEGE	lieja
FINED	multado
disgraceful	vergonzosa
Intertoto	intertoto
20,850	cicero
